"","X1","committee_name","contributor_occupation","college"
"9288",9288,"ACTBLUE","PHYSICIST","CornellU"
"9289",9289,"ACTBLUE","PROFESSOR","CornellU"
"9290",9290,"ACTBLUE","LIBRARIAN","CornellU"
"9291",9291,"ACTBLUE","UNIVERSITY ADMINISTRATOR","CornellU"
"9292",9292,"ACTBLUE","FILM PROGRAMMER","CornellU"
"9293",9293,"ACTBLUE","MEDIA","HamiltonC"
"9294",9294,"ACTBLUE","PROFESSOR","CornellU"
"9295",9295,"ACTBLUE","PROFESSOR","CornellU"
"9296",9296,"ACTBLUE","PROFESSOR","CornellU"
"9297",9297,"ACTBLUE","PROFESSOR","CornellU"
"9298",9298,"ACTBLUE","TEACHER","CornellU"
"9299",9299,"ACTBLUE","TEACHER","CornellU"
"9300",9300,"ACTBLUE","PROFESSOR","CornellU"
"9301",9301,"ACTBLUE","ADMISSIONS","CornellU"
"9302",9302,"ACTBLUE","PROFESSOR","CornellU"
"9303",9303,"ACTBLUE","PROFESSOR","CornellU"
"9304",9304,"ACTBLUE","PROFESSOR","CornellU"
"9305",9305,"ACTBLUE","PROFESSOR","AdelphiU"
"9306",9306,"ACTBLUE","PROFESSOR","AdelphiU"
"9307",9307,"ACTBLUE","WEB DEVELOPER","CornellU"
"9308",9308,"ACTBLUE","WEB DEVELOPER","CornellU"
"9309",9309,"ACTBLUE","LIBRARIAN","CornellU"
"9310",9310,"ACTBLUE","PROFESSOR EMERITUS","CornellU"
"9311",9311,"ACTBLUE","PROFESSOR EMERITUS","CornellU"
"9312",9312,"ACTBLUE","COLLEGE ADMINISTRATOR","CornellU"
"9313",9313,"ACTBLUE","PROFESSOR","CornellU"
"9314",9314,"ACTBLUE","PROFESSOR","CornellU"
"9315",9315,"ACTBLUE","ASSOC PROFESSOR","AdelphiU"
"9316",9316,"ACTBLUE","COLLEGE PROFESSOR","RPI"
"9317",9317,"ACTBLUE","STUDENT","HamiltonC"
"9318",9318,"ACTBLUE","TECHNICIAN","HamiltonC"
"9319",9319,"ACTBLUE","PROFESSOR","CornellU"
"9320",9320,"ACTBLUE","PROFESSOR","CornellU"
"9321",9321,"ACTBLUE","PROFESSOR","CornellU"
"9322",9322,"ACTBLUE","ASSOCIATE DIRECTOR","CornellU"
"9323",9323,"ACTBLUE","PROFESSOR","HamiltonC"
"9324",9324,"ACTBLUE","PROFESSOR","CornellU"
"9325",9325,"ACTBLUE","PROFESSOR OF AMERICAN HISTORY","ElmiraC"
"9326",9326,"ACTBLUE","PROFESSOR","CornellU"
"9327",9327,"ACTBLUE","LIBRARY ASSISTANT","CornellU"
"9328",9328,"ACTBLUE","SENIOR RESEARCH ASSOCIATE","CornellU"
"9329",9329,"ACTBLUE","PROFESSOR OF PHYSICS","CornellU"
"9330",9330,"ACTBLUE","PROFESSOR OF PHYSICS","CornellU"
"9331",9331,"ACTBLUE","LIBRARIAN","AdelphiU"
"9332",9332,"ACTBLUE","PROFESSOR","HamiltonC"
"9333",9333,"ACTBLUE","PROFESSOR","CornellU"
"9334",9334,"ACTBLUE","PROFESSOR","CornellU"
